feature,importance
T1d,0.0900783829700947
Annual Precipitation,0.08517812817113676
T2d,0.07123440021340163
Catchment Relief,0.06983316968026101
T10d,0.06317601357173883
T3d,0.06261310819506143
T8d,0.06135911989495138
T9d,0.06108848121831348
T4d,0.060989836467963715
T6d,0.05699084468341071
T7d,0.05580408994829913
T5d,0.05564982890812049
Ruggedness Number,0.05473379669024522
Drainage Area,0.04718610947470695
Catchment Length,0.04637426135829719
Drainage Density,0.041821977172900135
Stream Order,0.015888451381097294
